Municipio,Area, Valor , Data , Semana ,Cli.Tratado,Pais,Venda
Belém,SUDESTE / NORDESTE, R$ 6.381,83 ,02/01/2021,1ª Semana,TRATADO,Brasil,Efetivada
Mauá,SUL / SP, R$ 841,06 ,02/01/2021,1ª Semana,NÃO TRATADO,Brasil,Efetivada
Araucária,SUL / SP, R$ 585,95 ,03/01/2021,1ª Semana,NÃO TRATADO,Brasil,Efetivada
Itajaí,SUL / SP, R$ 1.356,41 ,03/01/2021,1ª Semana,NÃO TRATADO,Brasil,Efetivada
Mauá,SUL / SP, R$ 323,21 ,03/01/2021,1ª Semana,NÃO TRATADO,Brasil,Efetivada
Serra,SUDESTE / NORDESTE, R$ 690,43 ,03/01/2021,1ª Semana,NÃO TRATADO,Brasil,Cancelada
Biguaçu,SUL / SP, R$ 305,36 ,04/01/2021,2ª Semana,NÃO TRATADO,Brasil,Efetivada
Contagem,CENTRO OESTE, R$ 972,42 ,04/01/2021,2ª Semana,NÃO TRATADO,Brasil,Efetivada
Mauá,SUL / SP, R$ 840,00 ,04/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Nossa Senhora do Socorro,SUDESTE / NORDESTE, R$ 127,53 ,04/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Serra,SUDESTE / NORDESTE, R$ 1.304,34 ,04/01/2021,2ª Semana,NÃO TRATADO,Brasil,Efetivada
Belém,SUDESTE / NORDESTE, R$ 2.321,01 ,05/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Serra,SUDESTE / NORDESTE, R$ 1.623,51 ,05/01/2021,2ª Semana,TRATADO,Brasil,Efetivada
Serra,SUDESTE / NORDESTE, R$ 2.092,34 ,05/01/2021,2ª Semana,NÃO TRATADO,Brasil,Efetivada
Mauá,SUL / SP, R$ 259,88 ,06/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Contagem,CENTRO OESTE, R$ 316,67 ,07/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Mauá,SUL / SP, R$ 794,97 ,07/01/2021,2ª Semana,TRATADO,Brasil,Efetivada
Caxias Do Sul,SUL / SP, R$ 162,75 ,08/01/2021,2ª Semana,NÃO TRATADO,Brasil,Efetivada
Juiz De Fora,CENTRO OESTE, R$ 2.041,86 ,08/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Macaé II,SUDESTE / NORDESTE, R$ 1.402,46 ,08/01/2021,2ª Semana,TRATADO,Brasil,Efetivada
Mauá,SUL / SP, R$ 226,00 ,08/01/2021,2ª Semana,NÃO TRATADO,Brasil,Efetivada
Contagem,CENTRO OESTE, R$ 1.865,66 ,09/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Paulínia,SUL / SP, R$ 10,15 ,09/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Belém,SUDESTE / NORDESTE, R$ 2.349,36 ,10/01/2021,2ª Semana,TRATADO,Brasil,Efetivada
Osasco,SUL / SP, R$ 226,00 ,10/01/2021,2ª Semana,NÃO TRATADO,Brasil,Efetivada
Osasco,SUL / SP, R$ 22,28 ,10/01/2021,2ª Semana,NÃO TRATADO,Brasil,Cancelada
Ribeirão Preto,SUL / SP, R$ 2.217,35 ,10/01/2021,2ª Semana,NÃO TRATADO,Brasil,Efetivada
Contagem,CENTRO OESTE, R$ 1.540,38 ,11/01/2021,3ª Semana,NÃO TRATADO,Brasil,Cancelada
Goiânia,CENTRO OESTE, R$ 1.496,47 ,11/01/2021,3ª Semana,NÃO TRATADO,Brasil,Efetivada
Recife,SUDESTE / NORDESTE, R$ 1.413,87 ,11/01/2021,3ª Semana,NÃO TRATADO,Brasil,Cancelada
Araucária,SUL / SP, R$ 909,81 ,12/01/2021,3ª Semana,NÃO TRATADO,Brasil,Efetivada
